order_item_id,order_id,product_id,quantity,unit_price
OI00066,ORD00031,PROD0020,2,49.93
OI00067,ORD00031,PROD0017,5,92.29
OI00068,ORD00032,PROD0012,3,33.95
OI00069,ORD00032,PROD0019,1,31.4
OI00070,ORD00033,PROD0029,5,15.14
OI00071,ORD00033,PROD0028,2,33.61
OI00072,ORD00034,PROD0015,2,16.37
OI00073,ORD00035,PROD0018,3,51.1
OI00074,ORD00035,PROD0028,4,80.74
OI00075,ORD00036,PROD0010,1,22.91
OI00076,ORD00037,PROD0002,1,9.63
OI00077,ORD00037,PROD0019,4,44.74
OI00078,ORD00038,PROD0005,4,29.14
OI00079,ORD00039,PROD0011,1,14.75
OI00080,ORD00039,PROD0026,4,55.66
OI00081,ORD00040,PROD0025,3,72.02
OI00082,ORD00040,PROD0022,5,3.77
OI00083,ORD00040,PROD0009,4,42.59
OI00084,ORD00041,PROD0021,3,51.92
OI00085,ORD00042,PROD0028,3,83.24
OI00086,ORD00042,PROD0024,1,100.65
OI00087,ORD00042,PROD0021,3,8.85
OI00088,ORD00043,PROD0006,2,22.97
OI00089,ORD00044,PROD0003,5,38.46
OI00090,ORD00045,PROD0028,1,30.66
OI00091,ORD00046,PROD0011,1,87.33
OI00092,ORD00047,PROD0015,4,87.99
OI00093,ORD00047,PROD0029,5,50.3
OI00094,ORD00047,PROD0008,3,64.94
OI00095,ORD00048,PROD0030,4,57.11
OI00096,ORD00049,PROD0018,4,7.54
OI00097,ORD00049,PROD0007,2,92.85
OI00098,ORD00049,PROD0016,4,71.17
OI00099,ORD00050,PROD0008,3,66.68
OI00100,ORD00050,PROD0026,2,28.25
OI00101,ORD00050,PROD0011,1,58.24
OI00102,ORD00051,PROD0001,3,71.01
OI00103,ORD00051,PROD0025,1,8.36
OI00104,ORD00052,PROD0013,2,38.25
OI00105,ORD00052,PROD0002,3,63.88
OI00106,ORD00052,PROD0025,4,20.27
OI00107,ORD00053,PROD0016,4,31.64
OI00108,ORD00053,PROD0019,4,79.81
OI00109,ORD00053,PROD0016,1,31.33
OI00110,ORD00054,PROD0009,1,15.91
OI00111,ORD00054,PROD0015,4,90.51
OI00112,ORD00055,PROD0018,5,12.89
OI00113,ORD00055,PROD0024,3,55.91
OI00114,ORD00056,PROD0022,3,31.4
OI00115,ORD00056,PROD0009,5,3.59
OI00116,ORD00056,PROD0018,5,98.33
OI00117,ORD00057,PROD0019,5,30.33
OI00118,ORD00057,PROD0021,1,3.35
OI00119,ORD00058,PROD0011,2,61.8
OI00120,ORD00058,PROD0001,2,31.62
OI00121,ORD00059,PROD0026,2,86.6
OI00122,ORD00059,PROD0017,4,4.58
OI00123,ORD00060,PROD0021,2,92.49
OI00124,ORD00060,PROD0012,3,62.2
OI00125,ORD00060,PROD0006,4,38.09
OI00126,ORD00061,PROD0020,5,6.8
OI00127,ORD00062,PROD0001,3,37.16
OI00128,ORD00063,PROD0013,3,52.25
OI00129,ORD00063,PROD0010,1,68.92
OI00130,ORD00063,PROD0010,2,66.96
OI00131,ORD00064,PROD0020,4,67.09
OI00132,ORD00064,PROD0005,5,42.8
OI00133,ORD00065,PROD0024,1,40.16
OI00134,ORD00065,PROD0001,4,51.68
OI00135,ORD00066,PROD0008,2,29.17
OI00136,ORD00067,PROD0027,5,53.44
OI00137,ORD00068,PROD0008,5,2
OI00138,ORD00068,PROD0029,5,88.47
OI00139,ORD00069,PROD0006,4,49.46
OI00140,ORD00069,PROD0007,2,66.81
OI00141,ORD00070,PROD0003,5,66.74
OI00142,ORD00070,PROD0020,3,7.44
OI00143,ORD00071,PROD0001,4,41.7
OI00144,ORD00071,PROD0018,4,97.17
OI00145,ORD00072,PROD0014,2,52.75
OI00146,ORD00073,PROD0007,3,64.1
OI00147,ORD00073,PROD0018,5,33.71
OI00148,ORD00073,PROD0020,5,46.81
OI00149,ORD00074,PROD0025,4,58.73
OI00150,ORD00074,PROD0005,1,38.26
OI00151,ORD00074,PROD0014,2,44.88
OI00152,ORD00075,PROD0007,4,29.01
OI00153,ORD00076,PROD0026,4,51.76
OI00154,ORD00077,PROD0030,2,57.16
OI00155,ORD00077,PROD0025,3,99.59
OI00156,ORD00077,PROD0015,2,50.45
OI00157,ORD00078,PROD0017,3,72.98
OI00158,ORD00078,PROD0012,4,13.65
OI00159,ORD00078,PROD0019,1,17.17
OI00160,ORD00079,PROD0027,2,36.73
OI00161,ORD00079,PROD0015,4,39.34
OI00162,ORD00080,PROD0019,1,56.13
OI00163,ORD00081,PROD0010,4,28.54
OI00164,ORD00082,PROD0011,4,31.36
OI00165,ORD00082,PROD0017,1,7.38
OI00166,ORD00082,PROD0016,4,25.27
OI00167,ORD00083,PROD0012,5,34.74
OI00168,ORD00083,PROD0025,1,22.81
OI00169,ORD00083,PROD0014,2,89.62
OI00170,ORD00084,PROD0018,4,44.37
OI00171,ORD00084,PROD0018,4,37.26
OI00172,ORD00085,PROD0003,5,41.43
OI00173,ORD00086,PROD0005,2,12.38
OI00174,ORD00086,PROD0015,3,100.99
OI00175,ORD00087,PROD0015,3,66.12
OI00176,ORD00087,PROD0024,2,41.55
OI00177,ORD00087,PROD0009,1,63.66
OI00178,ORD00088,PROD0012,3,100.86
OI00179,ORD00089,PROD0006,4,2.77
OI00180,ORD00089,PROD0010,2,92.07
OI00181,ORD00089,PROD0026,2,2.75
OI00182,ORD00090,PROD0028,1,53.37
OI00183,ORD00090,PROD0024,1,46.08
OI00184,ORD00090,PROD0027,2,64.58
OI00185,ORD00091,PROD0014,2,28.82
OI00186,ORD00091,PROD0007,2,11.61
OI00187,ORD00091,PROD0008,1,4.34
OI00188,ORD00092,PROD0002,5,67.04
OI00189,ORD00093,PROD0020,5,41.78
OI00190,ORD00093,PROD0019,2,27.31
OI00191,ORD00094,PROD0017,5,43.99
OI00192,ORD00095,PROD0016,1,100.26
OI00193,ORD00095,PROD0029,4,46.29
OI00194,ORD00096,PROD0004,5,22.53
OI00195,ORD00096,PROD0003,4,77.58
OI00196,ORD00096,PROD0019,1,14.79
OI00197,ORD00097,PROD0014,1,30.54
OI00198,ORD00097,PROD0006,2,36.4
OI00199,ORD00097,PROD0022,1,63.97
OI00200,ORD00098,PROD0022,2,28.63
OI00201,ORD00098,PROD0023,2,80.97
OI00202,ORD00098,PROD0023,1,86.73
OI00203,ORD00099,PROD0005,4,22.39
OI00204,ORD00100,PROD0013,4,94.39
